date,amfi_code,nav,daily_return_pct
2022-01-03,100016,520.4608,
2022-01-04,100016,515.0971,-0.010306
2022-01-05,100016,521.7239,0.012865
2022-01-06,100016,515.788,-0.011377
2022-01-07,100016,515.1639,-0.00121
2022-01-10,100016,510.7136,-0.008639
2022-01-11,100016,513.5542,0.005562
2022-01-12,100016,512.3195,-0.002404
2022-01-13,100016,510.2445,-0.00405
2022-01-14,100016,514.3636,0.008073
2022-01-17,100016,514.7627,0.000776
2022-01-18,100016,517.3803,0.005085
2022-01-19,100016,513.1866,-0.008106
2022-01-20,100016,507.1294,-0.011803
2022-01-21,100016,507.871,0.001462
2022-01-24,100016,506.7062,-0.002293
2022-01-25,100016,509.7762,0.006059
2022-01-26,100016,509.68,-0.000189
2022-01-27,100016,510.8661,0.002327
2022-01-28,100016,503.8641,-0.013706
2022-01-31,100016,512.5903,0.017319
2022-02-01,100016,512.1124,-0.000932
2022-02-02,100016,515.5386,0.00669
2022-02-03,100016,512.0153,-0.006834
2022-02-04,100016,513.6729,0.003237
2022-02-07,100016,508.0666,-0.010914
2022-02-08,100016,510.3595,0.004513
2022-02-09,100016,509.0223,-0.00262
2022-02-10,100016,509.4161,0.000774
2022-02-11,100016,512.826,0.006694
2022-02-14,100016,507.5435,-0.010301
2022-02-15,100016,504.7492,-0.005506
2022-02-16,100016,507.0506,0.004559
2022-02-17,100016,516.7872,0.019202
2022-02-18,100016,516.4246,-0.000702
2022-02-21,100016,519.3918,0.005746
2022-02-22,100016,519.1698,-0.000427
2022-02-23,100016,528.4118,0.017801
2022-02-24,100016,520.6004,-0.014783
2022-02-25,100016,521.3038,0.001351
2022-02-28,100016,514.1489,-0.013725
2022-03-01,100016,503.1674,-0.021359
2022-03-02,100016,504.7495,0.003144
2022-03-03,100016,505.6316,0.001748
2022-03-04,100016,504.6233,-0.001994
2022-03-07,100016,504.411,-0.000421
2022-03-08,100016,518.6513,0.028232
2022-03-09,100016,517.7387,-0.00176
2022-03-10,100016,520.3416,0.005027
2022-03-11,100016,517.6372,-0.005197
2022-03-14,100016,519.2545,0.003124
2022-03-15,100016,518.432,-0.001584
2022-03-16,100016,516.825,-0.0031
2022-03-17,100016,525.4534,0.016695
2022-03-18,100016,531.2109,0.010957
2022-03-21,100016,532.1264,0.001723
2022-03-22,100016,521.6911,-0.019611
2022-03-23,100016,520.3011,-0.002664
2022-03-24,100016,533.1283,0.024653
2022-03-25,100016,532.3194,-0.001517
2022-03-28,100016,537.8012,0.010298
2022-03-29,100016,544.965,0.013321
2022-03-30,100016,546.3002,0.00245
2022-03-31,100016,542.5392,-0.006884
2022-04-01,100016,531.285,-0.020744
2022-04-04,100016,534.7762,0.006571
2022-04-05,100016,531.2213,-0.006647
2022-04-06,100016,532.3217,0.002071
2022-04-07,100016,526.7582,-0.010451
2022-04-08,100016,525.7986,-0.001822
2022-04-11,100016,526.2264,0.000814
2022-04-12,100016,527.7466,0.002889
2022-04-13,100016,522.8529,-0.009273
2022-04-14,100016,528.6739,0.011133
2022-04-15,100016,526.1696,-0.004737
2022-04-18,100016,518.7241,-0.01415
2022-04-19,100016,518.493,-0.000446
2022-04-20,100016,518.9178,0.000819
2022-04-21,100016,519.9214,0.001934
2022-04-22,100016,526.4763,0.012607
2022-04-25,100016,525.6507,-0.001568
2022-04-26,100016,525.3674,-0.000539
2022-04-27,100016,520.5493,-0.009171
2022-04-28,100016,524.6005,0.007783
2022-04-29,100016,525.7251,0.002144
2022-05-02,100016,524.0515,-0.003183
2022-05-03,100016,515.5881,-0.01615
2022-05-04,100016,522.4674,0.013343
2022-05-05,100016,517.1078,-0.010258
2022-05-06,100016,514.6837,-0.004688
2022-05-09,100016,516.5793,0.003683
2022-05-10,100016,511.4204,-0.009987
2022-05-11,100016,504.9889,-0.012576
2022-05-12,100016,495.8735,-0.018051
2022-05-13,100016,499.2941,0.006898
